,sigmaritan,artistName,trackName,msPlayed,duration,minutes
256,arina_coroliuc,Gustav Mahler,"Symphony No. 5, Pt. 3: IV. Adagietto",660706,636747.0,10.61245
257,andreea_covalevschi,Death Angel,The Ultra-Violence,633600,633600.0,10.56
287,andreea_covalevschi,Black Sabbath,Warning,632306,632307.0,10.53845
290,andreea_covalevschi,Nina Simone,Sinnerman,622000,622000.0,10.366666666666667
294,nicolae_gherman,TOOL,Fear Inoculum,620101,620101.0,10.335016666666666
295,andreea_covalevschi,Funkadelic,Maggot Brain,602540,619264.0,10.321066666666667
297,nicolae_gherman,Funkadelic,Maggot Brain,619263,619264.0,10.321066666666667
300,irina_tiora,Coldplay,Coloratura,618960,618960.0,10.316
301,andreea_covalevschi,Betoven Collection,Waldstein (1st Movement),617465,617465.0,10.291083333333333
303,marius_sclearuc,Transatlantic Alliance,Gossamer Webs,617440,617440.0,10.290666666666667
307,elena_timbur,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),613026,613027.0,10.217116666666668
310,marius_sclearuc,pg.lost,Crystalline,570404,610240.0,10.170666666666667
312,andreea_covalevschi,Björk,Black Lake,608760,608760.0,10.146
323,nicolae_gherman,Matthieu Faubourg,"Please, Stay",605000,605000.0,10.083333333333334
326,andreea_covalevschi,Electric Wizard,Return Trip,602840,602840.0,10.047333333333333
334,marius_sclearuc,Sagor Som Leder Mot Slutet,Avfärd,565927,601840.0,10.030666666666667
335,vasile_papaluta,Falconshield,This Is War 7,600072,600073.0,10.001216666666666
341,andreea_covalevschi,Pain of Salvation,Beyond the Pale,596733,596733.0,9.94555
353,andreea_covalevschi,Against All Logic,Rave on U,595863,595863.0,9.93105
354,andreea_covalevschi,TOOL,Pushit,595613,595613.0,9.926883333333333
355,andreea_covalevschi,Gojira,The art of dying,594213,594213.0,9.90355
357,andreea_covalevschi,TOOL,Opiate,599930,594049.0,9.900816666666667
358,andreea_covalevschi,The Pineapple Thief,The Final Thing on My Mind,593604,593605.0,9.893416666666667
359,nicolae_gherman,deadmau5,I Remember,594900,593600.0,9.893333333333333
375,nicolae_gherman,DJ Koze,Mrs. Bojangels,549800,589007.0,9.816783333333333
376,andreea_covalevschi,Metallica,To Live Is To Die,588933,588933.0,9.81555
382,marius_sclearuc,甜梅號,南方蝶道,586720,586720.0,9.778666666666666
386,andreea_covalevschi,Metallica,...And Justice For All,563493,586507.0,9.775116666666667
387,andreea_covalevschi,Metallica,...And Justice for All,585506,586507.0,9.775116666666667
388,marius_sclearuc,Metallica,...And Justice for All,585506,586507.0,9.775116666666667
392,andreea_covalevschi,Franz Liszt,"Hungarian Rhapsody No. 19 in D Minor, S. 244/19: Lento",585733,585733.0,9.762216666666667
400,marius_sclearuc,Flies Are Spies From Hell,Always Bereaved,586167,584729.0,9.745483333333333
401,arina_coroliuc,Gustav Mahler,Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam,583293,583293.0,9.72155
402,vasile_papaluta,Fearless Soul,7 Principles to Live by for Success and Happiness,579950,579951.0,9.66585
404,andreea_covalevschi,Bauhaus,Bela Lugosi's Dead (Official Version),576703,576703.0,9.611716666666666
415,marius_sclearuc,Daturah,Hybrisma,564253,571507.0,9.525116666666667
416,nicolae_gherman,Foals,The Runner - RÜFÜS DU SOL Remix,568912,568912.0,9.481866666666667
424,nicolae_gherman,Led Zeppelin,Tea for One - Remaster,548369,568067.0,9.467783333333333
425,nicolae_gherman,Led Zeppelin,Tea for One - 1993 Remaster,566866,568067.0,9.467783333333333
426,andreea_covalevschi,Betoven Collection,Waldstein (3rd Movement),567681,567681.0,9.46135
427,vladimir_stojoc,Oxxxymiron,КТО УБИЛ МАРКА?,567000,567001.0,9.450016666666667
436,nicolae_gherman,Oxxxymiron,КТО УБИЛ МАРКА?,538828,567001.0,9.450016666666667
439,vasile_papaluta,Oxxxymiron,КТО УБИЛ МАРКА?,567000,567001.0,9.450016666666667
475,marius_sclearuc,MONO,A Quiet Place (Together We Go),565946,565947.0,9.43245
476,nicolae_gherman,Emanuel Feuermann,"Introduction and Polonaise brillante in C Major, Op. 3 (arr. E. Feuermann)",565640,565640.0,9.427333333333333
480,arina_coroliuc,Sergei Prokofiev,"Piano Concerto No.3 in C, Op.26: 1. Andante - Allegro",564640,564640.0,9.410666666666666
481,marius_sclearuc,I/O,Input/Output,564081,564082.0,9.401366666666666
489,andreea_covalevschi,TOOL,Lateralus,569436,562707.0,9.37845
500,nicolae_gherman,TOOL,Lateralus,562706,562707.0,9.37845
502,marius_sclearuc,TOOL,Lateralus,562706,562707.0,9.37845
535,marius_sclearuc,Mooncake,Short Stories of Methuselah Tree,560626,560627.0,9.343783333333333
541,marius_sclearuc,Transmission Zero,Illusion of Coincidence,534920,560065.0,9.334416666666666
544,nicolae_gherman,Logic,Under Pressure,559533,559533.0,9.32555
554,marius_sclearuc,Break My Fucking Sky,The Drowned Lake,559250,559250.0,9.320833333333333
555,vasile_papaluta,Green Day,Homecoming,558520,558520.0,9.308666666666667
557,nicolae_gherman,Cubicolor,Down The Wall - Original Mix,557278,557279.0,9.287983333333333
564,marius_sclearuc,Transatlantic Alliance,Bouvet Island,557186,557187.0,9.28645
568,elena_timbur,Franz Schubert,"3 Klavierstucke, D. 946: No. 1 in E-Flat Minor: Allegro assai - Andante - Tempo I",556981,557040.0,9.284
569,vasile_papaluta,Fearless Motivation,10 Habits of All Successful People,555179,555180.0,9.253
596,marius_sclearuc,*shels,The Conference of the Birds,553826,553827.0,9.23045
597,nicolae_gherman,Rhye,Waste - RY X Remix,553413,553413.0,9.22355
600,marius_sclearuc,Transatlantic Alliance,Broken Emeralds,552320,552320.0,9.205333333333334
604,nicolae_gherman,Franz Schubert,"Piano Trio No.2 in E flat, Op.100 D.929: 2. Andante con moto",552000,552000.0,9.2
606,nicolae_gherman,Subcarpaţi,Greieri Și Sfinți,550540,550540.0,9.175666666666666
608,andreea_covalevschi,Lingua Ignota,THE ORDER OF SPIRITUAL VIRGINS,550253,550254.0,9.1709
610,nicolae_gherman,Estas Tonne,The Song of the Golden Dragon,549809,549809.0,9.163483333333334
611,marius_sclearuc,IAH,L'esprit de l'escalier,548706,548707.0,9.145116666666667
612,andreea_covalevschi,John Frusciante,Before The Beginning,548533,548533.0,9.142216666666666
625,vasile_papaluta,Fearless Soul,Change the Way You See Yourself (Inspirational Speech),548336,548337.0,9.13895
628,vasile_papaluta,Green Day,Jesus of Suburbia,548253,548253.0,9.13755
632,andreea_covalevschi,Aphex Twin,Tha,547133,547133.0,9.118883333333333
634,marius_sclearuc,Lynyrd Skynyrd,Free Bird,548588,547107.0,9.11845
650,andreea_covalevschi,Lynyrd Skynyrd,Free Bird,558933,547107.0,9.11845
711,andreea_covalevschi,Buckethead,Soothsayer (Dedicated to Aunt Suzie),544800,544800.0,9.08
715,nicolae_gherman,James Brown,People Get Up And Drive Your Funky Soul - Remix,544640,544640.0,9.077333333333334
716,nicolae_gherman,Daft Punk,Giorgio by Moroder,544626,544627.0,9.077116666666667
717,nicolae_gherman,Franz Liszt,"Hungarian Rhapsody No. 2 in C-Sharp Minor, S. 244/2",541600,541600.0,9.026666666666667
728,nicolae_gherman,Richard Wagner,"Götterdämmerung, WWV 86D / Act 2: ""Hoiho! Ihr Gibichsmannen""",539105,539105.0,8.985083333333334
729,andreea_covalevschi,Sur Austru,Ucenicii Din Hârtop I,538517,538517.0,8.975283333333334
731,andreea_covalevschi,Jaco Pastorius,(Used To Be A) Cha-Cha,528933,537040.0,8.950666666666667
743,nicolae_gherman,Guns N' Roses,November Rain,536066,536067.0,8.93445
744,marius_sclearuc,Guns N' Roses,November Rain,536066,536067.0,8.93445
753,vasile_papaluta,Guns N' Roses,November Rain,536066,536067.0,8.93445
775,andreea_covalevschi,TOOL,Right In Two,527866,535800.0,8.93
791,marius_sclearuc,Drop Nineteens,Kick The Tragedy,535600,535600.0,8.926666666666666
833,irina_tiora,Philip Glass,Études: No. 5,535573,535573.0,8.926216666666667
835,nicolae_gherman,Metallica,The Call Of Ktulu - Remastered,533493,533493.0,8.89155
837,andreea_covalevschi,UNKLE,Lonely Soul,533013,533013.0,8.88355
839,marius_sclearuc,ef,Delusions of Grandeur,532741,532742.0,8.879033333333334
859,alex_clefos,Black Sabbath,God Is Dead?,532266,532267.0,8.871116666666667
872,nicolae_gherman,J. Cole,4 Your Eyez Only,530253,530253.0,8.83755
880,nicolae_gherman,Tim Engelhardt,Catharsis,530046,530046.0,8.8341
881,marius_sclearuc,Glasgow Coma Scale,Silent Bird,529846,529847.0,8.830783333333333
882,andreea_covalevschi,Earth,Old Black,529760,529760.0,8.829333333333333
883,irina_tiora,Subcarpaţi,Colind,479646,528019.0,8.800316666666667
884,marius_sclearuc,There's A Light,Beteigeuze,527709,527709.0,8.79515
885,marius_sclearuc,We Lost The Sea,Challenger Part 2 - A Swan Song,503638,527707.0,8.795116666666667
886,eduard_balamatiuc,Ed Sheeran,Give Me Love,526386,526387.0,8.773116666666667
893,marius_sclearuc,The Best Pessimist,Above the Fog (Pt.2),526120,526120.0,8.768666666666666
915,marius_sclearuc,Explosions In The Sky,Six Days at the Bottom of the Ocean,523039,523040.0,8.717333333333332
918,andreea_covalevschi,Sepultura,Amen / Inner Self - Live '96,522280,522280.0,8.704666666666666
919,nicolae_gherman,Avoure,Aura,521402,521402.0,8.690033333333334
930,marius_sclearuc,All Shall Be Well (and All Shall Be Well and All Manner of Things Shall Be Well),History Is Ever Ours For the Reliving.,521400,521400.0,8.69
931,elena_timbur,Johann Sebastian Bach,"English Suite No. 6 in D Minor, BWV 811: I. Prelude",544493,517347.0,8.62245
932,arina_coroliuc,Don McLean,American Pie,516893,516893.0,8.614883333333333
933,marius_sclearuc,I Am No Hero,Eternal,516818,516819.0,8.61365
934,marius_sclearuc,Leech,Silent State Optimizer,516013,516013.0,8.600216666666666
944,andreea_covalevschi,Agalloch,Dark Matter Gods,515986,515987.0,8.599783333333333
945,alex_clefos,Metallica,Master Of Puppets - Remastered,515386,515387.0,8.589783333333333
946,vasile_papaluta,Metallica,Master Of Puppets,498558,515387.0,8.589783333333333
949,nicolae_gherman,Metallica,Master Of Puppets,515386,515387.0,8.589783333333333
969,andreea_covalevschi,TOOL,The Grudge,515080,515080.0,8.584666666666667
972,nicolae_gherman,TOOL,The Grudge,515080,515080.0,8.584666666666667
984,marius_sclearuc,pg.lost,Ikaros,514644,514867.0,8.581116666666667
985,marius_sclearuc,Leech,The Man With The Hammer,510440,510440.0,8.507333333333333
992,andreea_covalevschi,Ween,A Tear For Eddie - Live,509400,509400.0,8.49
1002,nicolae_gherman,Vancouver Sleep Clinic,Ayahuasca,508601,508602.0,8.4767
1012,vasile_papaluta,Meat Loaf,Paradise By the Dashboard Light,508333,508333.0,8.472216666666666
1013,andreea_covalevschi,Metallica,Orion,507226,507227.0,8.453783333333334
1020,andreea_covalevschi,Death,Flesh and the Power It Holds,506813,506813.0,8.446883333333334
1025,marius_sclearuc,Where Mermaids Drown,One Week,506000,506000.0,8.433333333333334
1026,nicolae_gherman,Klangkarussell,We Want Your Soul,505653,505653.0,8.42755
1032,andreea_covalevschi,TOOL,Eulogy,505146,505147.0,8.419116666666667
1046,nicolae_gherman,Foals,Late Night - Solomun Remix,504726,504347.0,8.405783333333334
1054,marius_sclearuc,Loud Exit,Dream Friend Dream Like a Resting Ship in the Night,502000,504000.0,8.4
1055,nicolae_gherman,Led Zeppelin,Since I've Been Loving You - (Live at MSG 1973) [Remaster],503840,503840.0,8.397333333333334
1056,nicolae_gherman,Monolink,Burning Sun,503000,503000.0,8.383333333333333
1058,andreea_covalevschi,Swans,To Be Kind,502540,502541.0,8.375683333333333
1059,andreea_covalevschi,Kasabian,Are You Looking for Action?,502493,502493.0,8.374883333333333
1060,marius_sclearuc,Explosions In The Sky,Last Known Surroundings,501533,501533.0,8.358883333333333
1061,andreea_covalevschi,Death,Perennial Quest,501360,501360.0,8.356
1065,andreea_covalevschi,Jaco Pastorius,"Medley, Donna Lee",501066,501066.0,8.3511
1067,nicolae_gherman,Pendulum,"9,000 Miles - Eelke Kleijn Remix",500952,500952.0,8.3492
1076,nicolae_gherman,deadmau5,"Sometimes Things Get, Whatever",500302,500302.0,8.338366666666667
1077,marius_sclearuc,Spoiwo,Yos,499589,499589.0,8.326483333333334
1078,marius_sclearuc,Break My Fucking Sky,Seven,499500,499500.0,8.325
1079,marius_sclearuc,There's A Light,A Long Lost Silence,499280,499280.0,8.321333333333333
1082,nicolae_gherman,Daft Punk,Touch (feat. Paul Williams),498960,498960.0,8.316
1088,marius_sclearuc,Explosions In The Sky,Your Hand in Mine,497493,497493.0,8.29155
1089,nicolae_gherman,Kendrick Lamar,untitled 07 | 2014 - 2016,465760,496173.0,8.26955
1091,nicolae_gherman,Ludovico Einaudi,The Path Of The Fossils - Day 1,495576,495577.0,8.259616666666666
1099,nicolae_gherman,Lake Of Tears,To Blossom Blue,495266,495267.0,8.25445
1101,andreea_covalevschi,Donna Summer,I Feel Love,493600,495187.0,8.253116666666667
1102,nicolae_gherman,1914,A7v Mephisto,493558,493558.0,8.225966666666666
1103,nicolae_gherman,Green Day,Holiday / Boulevard of Broken Dreams,493400,493400.0,8.223333333333333
1104,andreea_covalevschi,Massive Attack,Group Four,492266,492267.0,8.20445
1110,marius_sclearuc,Am Fost La Munte Și Mi-a Plăcut,Susurul Raurilor,491357,491357.0,8.189283333333334
1115,marius_sclearuc,Syberia,Rogue Hunt,490880,490880.0,8.181333333333333
1116,marius_sclearuc,Wang Wen,Daybreak,490562,490562.0,8.176033333333333
1117,marius_sclearuc,缺省,Moon Plate,482737,490189.0,8.169816666666666
1149,marius_sclearuc,MONO,Innocence,490133,490133.0,8.168883333333333
1152,marius_sclearuc,MONO,Dream Odyssey,490093,490093.0,8.168216666666666
1153,nicolae_gherman,deadmau5,Alone with You,489888,489889.0,8.164816666666667
1154,marius_sclearuc,It Was a Good Dream,"Words Dissolve, Your Voice Wanders",487826,487826.0,8.130433333333333
1156,andreea_covalevschi,Exodus,"Like Father, Like Son",485390,487600.0,8.126666666666667
1157,andreea_covalevschi,TOOL,Ticks & Leeches,487546,487547.0,8.125783333333333
1163,marius_sclearuc,IAH,Sunon,442073,487187.0,8.119783333333332
1164,andreea_covalevschi,Black Sabbath,End Of The Beginning,486226,486227.0,8.103783333333332
1165,marius_sclearuc,Glasgow Coma Scale,Birthland,485779,485779.0,8.096316666666667
1166,arina_coroliuc,Jean Sibelius,"Finlandia, Op. 26",486266,485667.0,8.09445
1167,nicolae_gherman,Subcarpaţi,Colind - Vinyl Edition,485350,485351.0,8.089183333333333
1168,marius_sclearuc,If These Trees Could Talk,Malabar Front,485053,485053.0,8.084216666666666
1169,andreea_covalevschi,Sur Austru,Caloianul,485031,485031.0,8.08385
1173,nicolae_gherman,Super Flu,Ooooooh,484227,484228.0,8.070466666666666
1179,vlada_pulbere,Justin Timberlake,Mirrors,484146,484147.0,8.069116666666666
1182,arina_coroliuc,Justin Timberlake,Mirrors,484146,484147.0,8.069116666666666
1183,elena_timbur,Johann Sebastian Bach,"Bach, JS: Piano Concerto No. 1 in D Minor, BWV 1052: I. Allegro",483600,483600.0,8.06
1184,marius_purici,Hans Zimmer,"Mermaids - From ""Pirates of the Caribbean: On Stranger Tides""/Score",483550,483480.0,8.058
1185,vasile_papaluta,Eric Thomas,Impose Your Will,482939,482940.0,8.049
1187,marius_sclearuc,Led Zeppelin,Stairway to Heaven - Remaster,482830,482830.0,8.047166666666667
1189,nicolae_gherman,Led Zeppelin,Stairway to Heaven - Remaster,482830,482830.0,8.047166666666667
1246,marius_sclearuc,Deer Park Ranger,Shapeshifter,482448,482449.0,8.040816666666666
1248,vasile_papaluta,PORCHY,KONSTRUKT,481951,481951.0,8.032516666666666
1249,nicolae_gherman,PORCHY,KONSTRUKT,481951,481951.0,8.032516666666666
1269,arina_coroliuc,Jean Sibelius,"Symphony No. 5 in E-Flat Major, Op. 82: 3. Allegro molto",481600,481600.0,8.026666666666667
1270,marius_sclearuc,This Patch of Sky,"Time Destroys Everything, But Our Foundation Remains",481175,481176.0,8.0196
1272,elena_timbur,Johann Sebastian Bach,"Keyboard Concerto No. 2 in E Major, BWV 1053: I. ?",481160,481160.0,8.019333333333334
1273,marius_sclearuc,Slowdive,Falling Ashes,473931,480758.0,8.012633333333333
1277,marius_sclearuc,Crippled Black Phoenix,Victory,480466,480467.0,8.007783333333334
1278,vasile_papaluta,Fearless Motivation,We Are All Self Made,480000,480000.0,8.0
1284,nicolae_gherman,deadmau5,Some Kind of Blue,479924,479924.0,7.998733333333333
1285,nicolae_gherman,Dave,Both Sides Of A Smile (feat. James Blake),479897,479897.0,7.998283333333333
1292,marius_sclearuc,Slint,Glenn - Spiderland Outtake,479506,479507.0,7.991783333333333
1293,denis_smocvin,Avicii,Dear Boy,474473,479333.0,7.988883333333333
1312,arina_coroliuc,Dalal,Einaudi: Una mattina,479048,479048.0,7.984133333333333
1313,andreea_covalevschi,Marilyn Manson,Saturnalia,478973,478973.0,7.9828833333333336
1322,arina_coroliuc,Edward Elgar,"Elgar: Cello Concerto in E Minor, Op. 85: I. Adagio - Moderato",478573,478573.0,7.976216666666667
1323,nicolae_gherman,Alter Bridge,Blackbird,478133,478133.0,7.968883333333333
1328,nicolae_gherman,The Doors,L.A. Woman - New Stereo Mix,437090,478067.0,7.967783333333333
1331,arina_coroliuc,Ludwig van Beethoven,"Egmont, Op. 84: Overture in F Minor",477933,477933.0,7.96555
1332,marius_sclearuc,Da Voile,And Now Her Smile Shines Brighter,477918,477918.0,7.9653
1333,nicolae_gherman,Subcarpaţi,Câte-s Pe Sub Stele - Vinyl Edition,477860,477861.0,7.96435
1334,marius_sclearuc,Indignu,Adeus Clarabóia,476045,476045.0,7.934083333333334
1336,nicolae_gherman,Harrison BDP,Decompression,476015,476015.0,7.933583333333333
1340,andreea_covalevschi,Unknown Artist,Unknown Track,600177,475559.0,7.925983333333333
1353,marius_sclearuc,Hymns for the Angels,The Offering Hand,475500,475500.0,7.925
1354,marius_sclearuc,April Rain,Exploring Yourself With A Knife,475480,475423.0,7.9237166666666665
1359,marius_sclearuc,Syberia,Seeds of Change,460365,475347.0,7.92245
1360,vladimir_stojoc,Keith Jarrett Trio,You've Changed,493186,475213.0,7.920216666666667
1364,andreea_covalevschi,Black Sabbath,War Pigs,443732,474400.0,7.906666666666666
1367,nicolae_gherman,Black Sabbath,War Pigs,474400,474400.0,7.906666666666666
1374,andreea_covalevschi,Anthrax,Blood,433466,473312.0,7.888533333333333
1376,andreea_covalevschi,Anthrax,Blood Eagle Wings,473311,473312.0,7.888533333333333
1378,nicolae_gherman,Have A Nice Life,A Quick One Before the Eternal Worm Devours Connecticut,472695,472696.0,7.878266666666667
1379,andreea_covalevschi,Anthrax,Medley: A.D.I. / Horror Of It All,469160,469160.0,7.819333333333334
1380,marius_sclearuc,ДДТ,Это всё,474809,469133.0,7.818883333333333
1383,nicolae_gherman,Black Sabbath,Wheels of Confusion,468920,468920.0,7.815333333333333
1387,vasile_papaluta,Fearless Motivation,The Keys to Success (Motivational Speech),468783,468783.0,7.81305
1408,vladimir_stojoc,Jaden,Ninety,468168,468168.0,7.8028
1413,andreea_covalevschi,TOOL,Flood,467853,467853.0,7.79755
1421,nicolae_gherman,Tame Impala,Let It Happen,467586,467587.0,7.793116666666666
1422,marius_sclearuc,Tame Impala,Let It Happen,467586,467587.0,7.793116666666666
1480,nicolae_gherman,16BL,I'll Be True,467371,467371.0,7.789516666666667
1491,andreea_covalevschi,The Beatles,I Want You (She's So Heavy) - Remastered 2009,467320,467320.0,7.788666666666667
1498,nicolae_gherman,efdemin,Bergwein,467133,467133.0,7.78555
1501,andreea_covalevschi,Metallica,The Unforgiven III,466586,466587.0,7.77645
1514,arina_coroliuc,Gustav Holst,"The Planets, Op. 32: IV. Jupiter, the Bringer of Jollity",465960,465960.0,7.766
1515,marius_sclearuc,Catacombe,Ninho de Vespas,465573,465573.0,7.75955
1518,nicolae_gherman,Max Manie,Sunday - Klangkarussell Remix,464486,464487.0,7.74145
1523,andreea_covalevschi,Gojira,Flying whales,464453,464453.0,7.740883333333334
1525,arina_coroliuc,Philip Glass,Glassworks: Opening,464453,464453.0,7.740883333333334
1527,andreea_covalevschi,Aphex Twin,#3,464293,464293.0,7.738216666666666
1530,andreea_covalevschi,Metallica,The Frayed Ends of Sanity,463158,464000.0,7.733333333333333
1531,vasile_papaluta,Fearless Soul,Don't Allow Yourself to Be Controlled by These 5 Things (Motivational Speech),463968,463968.0,7.7328
1534,marius_sclearuc,晨曦光廊,60km/h,463613,463613.0,7.726883333333333
1535,andreea_covalevschi,Stuart Mitchell,"The Mausoleum at Halicarnassus - From ""Seven Wonders"" Suite",463582,463582.0,7.726366666666666
1536,andreea_covalevschi,Aphex Twin,We Are the Music Makers,463520,463520.0,7.725333333333333
1537,nicolae_gherman,deadmau5,Slip,463440,463441.0,7.7240166666666665
1538,irina_tiora,Clamavi De Profundis,Far Over the Misty Mountains Cold,463439,463439.0,7.723983333333333
1539,nicolae_gherman,Boris Brejcha,Lost Memory,462719,462720.0,7.712
1543,marius_sclearuc,Show Me A Dinosaur,Drawing the Line,462352,462353.0,7.705883333333333
1547,marius_sclearuc,Guns N' Roses,Civil War,462093,462093.0,7.70155
1549,andreea_covalevschi,Jaco Pastorius,Kuru/Speak Like A Child,461933,461933.0,7.698883333333334
1570,vasile_papaluta,Travis Scott,3500 (feat. Future & 2 Chainz),461840,461840.0,7.697333333333333
1579,marius_sclearuc,1099,Vintersøvn,460858,460859.0,7.680983333333334
1581,nicolae_gherman,Kendrick Lamar,FEAR.,460573,460573.0,7.676216666666667
1582,andreea_covalevschi,Wolfgang Amadeus Mozart,"Symphony No. 25 in G minor, K.183: 1. Allegro con brio",460026,460027.0,7.667116666666667
1589,vasile_papaluta,Timati,Ракета,419095,459700.0,7.661666666666667
